LAST SEEN   TYPE      REASON              OBJECT                                                MESSAGE
16m         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-z24lv     Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
16m         Normal    Created             pod/kyverno-admission-controller-54d58cc467-z24lv     Container created
16m         Normal    Started             pod/kyverno-admission-controller-54d58cc467-z24lv     Container started
16m         Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467    Created pod: kyverno-admission-controller-54d58cc467-r8lnt
16m         Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9    Deleted pod: kyverno-admission-controller-6fdd8c56c9-4f4l2
16m         Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2     Stopping container kyverno
16m         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-r8lnt     Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
16m         Normal    Created             pod/kyverno-admission-controller-54d58cc467-r8lnt     Container created
16m         Normal    Started             pod/kyverno-admission-controller-54d58cc467-r8lnt     Container started
15m         Normal    Created             pod/kyverno-admission-controller-54d58cc467-r8lnt     Container created
15m         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-r8lnt     Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
15m         Normal    Started             pod/kyverno-admission-controller-54d58cc467-r8lnt     Container started
15m         Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467    Created pod: kyverno-admission-controller-54d58cc467-w8n68
15m         Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9    Deleted pod: kyverno-admission-controller-6fdd8c56c9-425ds
15m         Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-425ds     Stopping container kyverno
15m         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-w8n68     Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/kyverno-admission-controller-54d58cc467-w8n68     Container created
15m         Normal    Started             pod/kyverno-admission-controller-54d58cc467-w8n68     Container started
15m         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-w8n68     Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/kyverno-admission-controller-54d58cc467-w8n68     Container created
15m         Normal    Started             pod/kyverno-admission-controller-54d58cc467-w8n68     Container started
15m         Normal    ScalingReplicaSet   deployment/kyverno-admission-controller               (combined from similar events): Scaled down replica set kyverno-admission-controller-6fdd8c56c9 from 1 to 0
15m         Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-mkxcc     Stopping container kyverno
15m         Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9    Deleted pod: kyverno-admission-controller-6fdd8c56c9-mkxcc
118s        Normal    SuccessfulCreate    replicaset/kyverno-background-controller-54c8547bdc   Created pod: kyverno-background-controller-54c8547bdc-xkn8x
118s        Normal    SuccessfulCreate    replicaset/kyverno-cleanup-controller-86f44b75bc      Created pod: kyverno-cleanup-controller-86f44b75bc-vgrjd
118s        Normal    Killing             pod/kyverno-admission-controller-54d58cc467-w8n68     Stopping container kyverno
118s        Normal    SuccessfulCreate    replicaset/kyverno-reports-controller-849f95d74f      Created pod: kyverno-reports-controller-849f95d74f-nzgz4
118s        Normal    Killing             pod/kyverno-reports-controller-849f95d74f-5krgq       Stopping container controller
118s        Normal    Killing             pod/kyverno-background-controller-54c8547bdc-pjj5l    Stopping container controller
118s        Normal    Killing             pod/kyverno-admission-controller-54d58cc467-mk9nz     Stopping container kyverno
118s        Normal    Killing             pod/kyverno-cleanup-controller-86f44b75bc-7bx7w       Stopping container controller
118s        Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467    Created pod: kyverno-admission-controller-54d58cc467-8mbql
117s        Normal    Started             pod/kyverno-background-controller-54c8547bdc-xkn8x    Container started
117s        Normal    Created             pod/kyverno-background-controller-54c8547bdc-xkn8x    Container created
117s        Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467    Created pod: kyverno-admission-controller-54d58cc467-t2qwb
117s        Normal    Pulled              pod/kyverno-reports-controller-849f95d74f-nzgz4       Container image "reg.kyverno.io/kyverno/reports-controller:v1.18.2" already present on machine and can be accessed by the pod
117s        Normal    Created             pod/kyverno-reports-controller-849f95d74f-nzgz4       Container created
117s        Normal    Started             pod/kyverno-reports-controller-849f95d74f-nzgz4       Container started
117s        Normal    Pulled              pod/kyverno-background-controller-54c8547bdc-xkn8x    Container image "reg.kyverno.io/kyverno/background-controller:v1.18.2" already present on machine and can be accessed by the pod
116s        Normal    Created             pod/kyverno-cleanup-controller-86f44b75bc-vgrjd       Container created
116s        Normal    Started             pod/kyverno-cleanup-controller-86f44b75bc-vgrjd       Container started
116s        Normal    Pulled              pod/kyverno-cleanup-controller-86f44b75bc-vgrjd       Container image "reg.kyverno.io/kyverno/cleanup-controller:v1.18.2" already present on machine and can be accessed by the pod
